,,,
Physical Properties,Metric,English,Comments
Density ,0.650 - 2.12 g/cc,0.0235 - 0.0766 lb/in³,Average value: 1.05 g/cc Grade Count:469
Water Absorption ,0.000 - 0.600 %,0.000 - 0.600 %,Average value: 0.0923 % Grade Count:92
Moisture Absorption at Equilibrium ,0.0300 - 0.100 %,0.0300 - 0.100 %,Average value: 0.0957 % Grade Count:42
Water Absorption at Saturation ,0.10%,0.10%,Average value: 0.100 % Grade Count:31
Particle Size ,0.800 - 4000 µm,0.800 - 4000 µm,Average value: 1240 µm Grade Count:23
Maximum Moisture Content ,0.01,0.01,Average value: 0.0100 Grade Count:8
Linear Mold Shrinkage ,0.00200 - 0.0450 cm/cm,0.00200 - 0.0450 in/in,Average value: 0.00597 cm/cm Grade Count:278
"Linear Mold Shrinkage, Transverse ",0.00200 - 0.00600 cm/cm,0.00200 - 0.00600 in/in,Average value: 0.00467 cm/cm Grade Count:3
Melt Flow ,0.900 - 99.0 g/10 min,0.900 - 99.0 g/10 min,Average value: 7.83 g/10 min Grade Count:524
Spiral Flow ,44.0 - 45.0 cm,17.3 - 17.7 in,Average value: 44.5 cm Grade Count:2
,@Temperature 220 - 220 °C,@Temperature 428 - 428 °F,
,,,
Mechanical Properties,Metric,English,Comments
"Hardness, Rockwell L ",40.0 - 84.0,40.0 - 84.0,Average value: 58.9 Grade Count:69
"Hardness, Rockwell M ",32.0 - 103,32.0 - 103,Average value: 66.6 Grade Count:41
"Hardness, Rockwell R ",53.0 - 120,53.0 - 120,Average value: 94.2 Grade Count:86
Ball Indentation Hardness ,60.0 - 110 MPa,8700 - 16000 psi,Average value: 79.5 MPa Grade Count:28
"Tensile Strength, Ultimate ",12.4 - 240 MPa,1800 - 34800 psi,Average value: 26.9 MPa Grade Count:278
"Tensile Strength, Yield ",2.35 - 200 MPa,341 - 29000 psi,Average value: 25.8 MPa Grade Count:388
Elongation at Break ,1.30 - 350 %,1.30 - 350 %,Average value: 45.2 % Grade Count:451
Elongation at Yield ,1.00 - 75.0 %,1.00 - 75.0 %,Average value: 15.3 % Grade Count:87
Modulus of Elasticity ,0.155 - 3.47 GPa,22.5 - 503 ksi,Average value: 1.97 GPa Grade Count:300
Flexural Yield Strength ,3.92 - 450 MPa,569 - 65300 psi,Average value: 45.8 MPa Grade Count:343
Flexural Modulus ,0.686 - 22.5 GPa,99.6 - 3260 ksi,Average value: 2.12 GPa Grade Count:387
"Izod Impact, Notched ",0.0890 - 9.61 J/cm,0.167 - 18.0 ft-lb/in,Average value: 1.14 J/cm Grade Count:405
,0.42712 - 1.81526 J/cm,0.80017 - 3.40073 ft-lb/in,Average value: 0.537 J/cm Grade Count:16
,@Temperature -50.0 - -17.8 °C,@Temperature -58.0 - 0.000 °F,
,0.0640 - 0.85424 J/cm,0.120 - 1.6003 ft-lb/in,Average value: 0.537 J/cm Grade Count:10
,@Temperature -30.0 - -18.0 °C,@Temperature -22.0 - -0.400 °F,
,0.0640 - 0.85424 J/cm,0.120 - 1.6003 ft-lb/in,Average value: 0.537 J/cm Grade Count:10
,@Thickness 3.17 - 6.50 mm,@Thickness 0.125 - 0.256 in,
"Izod Impact, Unnotched ",0.801 - 5340 J/cm,1.50 - 10000 ft-lb/in,Average value: 4.13 J/cm Grade Count:25
"Izod Impact, Notched (ISO) ",2.00 - 14.0 kJ/m²,0.952 - 6.66 ft-lb/in²,Average value: 8.35 kJ/m² Grade Count:74
,5.00 - 7.00 kJ/m²,2.38 - 3.33 ft-lb/in²,Average value: 5.50 kJ/m² Grade Count:2
,@Temperature -30.0 - -30.0 °C,@Temperature -22.0 - -22.0 °F,
,3.50 - 6.50 kJ/m²,1.67 - 3.09 ft-lb/in²,Average value: 5.50 kJ/m² Grade Count:8
,@Temperature -30.0 - -30.0 °C,@Temperature -22.0 - -22.0 °F,
,3.50 - 6.50 kJ/m²,1.67 - 3.09 ft-lb/in²,Average value: 5.50 kJ/m² Grade Count:8
,@Thickness 4.00 - 4.00 mm,@Thickness 0.157 - 0.157 in,
