"Date","Price","Open","High","Low","Vol.","Change %"
"30-08-2024","275.00","275.00","275.40","275.00","0.00K","2.38%"
"29-08-2024","268.60","268.60","271.35","265.30","0.02K","0.00%"
"28-08-2024","268.60","271.50","271.50","268.10","0.04K","-0.76%"
"27-08-2024","270.65","268.90","272.35","268.90","0.03K","0.52%"
"26-08-2024","269.25","268.55","269.90","266.50","0.34K","0.75%"
"23-08-2024","267.25","267.25","268.45","265.05","2.25K","0.74%"
"22-08-2024","265.30","267.65","269.50","264.25","3.57K","-0.62%"
"21-08-2024","266.95","265.10","268.15","265.10","3.29K","0.89%"
"20-08-2024","264.60","263.80","267.35","261.75","3.41K","0.23%"
"19-08-2024","264.00","263.75","265.70","263.25","2.42K","0.67%"
"16-08-2024","262.25","258.10","263.35","258.10","3.43K","1.98%"
"14-08-2024","257.15","256.20","260.70","255.40","4.08K","0.49%"
"13-08-2024","255.90","258.45","258.60","254.80","4.12K","-1.60%"
"12-08-2024","260.05","257.45","262.25","257.10","3.88K","0.91%"
"09-08-2024","257.70","253.50","258.75","253.05","4.55K","2.51%"
"08-08-2024","251.40","246.00","251.80","245.35","4.24K","2.65%"
"07-08-2024","244.90","245.75","246.40","243.55","2.98K","-1.03%"
"06-08-2024","247.45","247.50","247.90","244.60","4.24K","-0.12%"
"05-08-2024","247.75","251.80","252.70","242.70","6.55K","-1.43%"
"02-08-2024","251.35","250.40","254.10","250.15","3.57K","0.38%"
"01-08-2024","250.40","254.25","255.00","249.65","3.98K","-0.83%"
"31-07-2024","252.50","252.50","253.00","249.80","0.04K","1.79%"
"30-07-2024","248.05","247.15","248.35","247.15","0.03K","-0.86%"
"29-07-2024","250.20","255.00","255.00","246.75","0.02K","-1.71%"
"26-07-2024","254.55","260.40","260.60","250.50","0.12K","-1.16%"
"25-07-2024","257.55","262.80","262.80","254.55","0.42K","-0.56%"
"24-07-2024","259.00","258.95","263.00","257.30","2.04K","-0.19%"
"23-07-2024","259.50","262.70","263.50","255.90","2.58K","-1.61%"
