mq2_ppm,mq7_ppm,mq135_ppm,mq303_ppm,mq136_ppm,temperature_c,humidity_pct,gas_class,notes
33.03,93.28,9.83,0.003281,0.231326,27.67,64.05,CO,Simulated literature-based profile
27.36,83.78,12.54,0.004503,0.281264,27.94,69.68,CO,Simulated literature-based profile
30.02,97.18,13.86,0.006657,0.253521,29.93,60.85,CO,Simulated literature-based profile
37.86,74.28,11.65,0.004072,0.323271,28.84,66.17,CO,Simulated literature-based profile
25.81,97.23,11.14,0.006682,0.351877,28.01,66.58,CO,Simulated literature-based profile
28.73,80.91,12.75,0.004293,0.213982,29.3,60.11,CO,Simulated literature-based profile
28.14,71.67,13.48,0.005635,0.310111,27.23,68.82,CO,Simulated literature-based profile
25.84,79.53,10.37,0.003141,0.385296,28.41,63.04,CO,Simulated literature-based profile
37.66,92.39,12.9,0.00519,0.257592,28.62,65.93,CO,Simulated literature-based profile
26.18,97.37,8.09,0.00423,0.364888,28.25,60.71,CO,Simulated literature-based profile
33.14,74.07,11.31,0.005705,0.225135,28.91,67.45,CO,Simulated literature-based profile
28.88,90.0,11.01,0.0063,0.392872,27.68,67.55,CO,Simulated literature-based profile
37.98,99.24,14.45,0.006655,0.232279,28.93,60.98,CO,Simulated literature-based profile
32.82,97.63,10.24,0.003844,0.204193,29.0,62.22,CO,Simulated literature-based profile
25.3,86.52,8.53,0.004106,0.309635,29.27,67.2,CO,Simulated literature-based profile
29.13,83.21,11.74,0.004105,0.229212,28.92,68.5,CO,Simulated literature-based profile
38.43,70.5,9.18,0.003779,0.275513,27.94,61.55,CO,Simulated literature-based profile
26.98,85.4,12.27,0.005443,0.256191,28.26,63.5,CO,Simulated literature-based profile
36.49,88.78,9.08,0.003209,0.389532,28.95,63.42,CO,Simulated literature-based profile
36.45,97.25,14.28,0.005308,0.217043,28.69,66.99,CO,Simulated literature-based profile
27.95,70.92,12.15,0.005813,0.362772,27.01,60.52,CO,Simulated literature-based profile
33.81,79.12,9.83,0.003642,0.289262,28.86,63.1,CO,Simulated literature-based profile
26.93,95.63,9.97,0.00313,0.340866,28.62,61.54,CO,Simulated literature-based profile
28.12,88.09,12.11,0.005607,0.367041,27.97,69.5,CO,Simulated literature-based profile
38.49,72.37,13.11,0.003748,0.320101,27.49,64.84,CO,Simulated literature-based profile
26.28,75.96,8.09,0.005855,0.325546,29.12,70.0,CO,Simulated literature-based profile
33.19,93.77,13.05,0.00457,0.297384,27.9,60.29,CO,Simulated literature-based profile
39.59,92.96,11.6,0.006267,0.388421,29.36,67.29,CO,Simulated literature-based profile
31.68,70.95,13.23,0.003397,0.219548,29.35,62.11,CO,Simulated literature-based profile
26.99,97.47,10.59,0.005511,0.239568,27.43,64.06,CO,Simulated literature-based profile
192.65,10.96,7.56,0.004487,0.288484,26.02,59.5,LPG,Simulated literature-based profile
211.92,8.96,9.13,0.004819,0.285468,26.58,63.62,LPG,Simulated literature-based profile
243.63,11.25,8.96,0.003457,0.274953,28.16,62.12,LPG,Simulated literature-based profile
184.11,9.94,9.37,0.003585,0.184945,27.93,65.3,LPG,Simulated literature-based profile
243.73,10.95,9.49,0.003961,0.172371,27.26,66.22,LPG,Simulated literature-based profile
158.12,8.83,7.61,0.003973,0.143505,28.75,66.82,LPG,Simulated literature-based profile
151.31,9.22,9.54,0.004945,0.20424,27.74,65.49,LPG,Simulated literature-based profile
223.35,10.95,7.42,0.004486,0.104023,28.35,67.45,LPG,Simulated literature-based profile
185.47,9.32,7.4,0.003057,0.159666,27.64,66.22,LPG,Simulated literature-based profile
162.87,8.03,7.29,0.004156,0.144518,28.35,61.13,LPG,Simulated literature-based profile
186.11,11.12,8.97,0.00344,0.26983,26.24,60.28,LPG,Simulated literature-based profile
170.04,11.03,9.65,0.00495,0.113176,26.69,59.81,LPG,Simulated literature-based profile
162.79,11.53,9.53,0.004709,0.132039,28.13,58.75,LPG,Simulated literature-based profile
169.82,10.26,9.86,0.004118,0.28464,27.85,63.3,LPG,Simulated literature-based profile
216.7,9.47,9.48,0.003202,0.287556,27.64,59.54,LPG,Simulated literature-based profile
234.34,9.96,6.25,0.004217,0.270287,27.58,65.83,LPG,Simulated literature-based profile
222.2,10.65,7.2,0.004931,0.167364,26.38,66.21,LPG,Simulated literature-based profile
158.63,8.15,7.09,0.004758,0.246824,26.22,66.82,LPG,Simulated literature-based profile
211.96,10.6,6.89,0.003045,0.208643,28.04,59.41,LPG,Simulated literature-based profile
203.91,10.12,8.01,0.003467,0.186927,27.88,61.41,LPG,Simulated literature-based profile
204.96,8.97,7.55,0.003601,0.280699,27.71,60.07,LPG,Simulated literature-based profile
234.28,8.21,8.9,0.003908,0.171931,29.0,65.96,LPG,Simulated literature-based profile
247.04,11.92,8.66,0.003803,0.122357,28.54,59.61,LPG,Simulated literature-based profile
242.13,8.59,6.2,0.003545,0.213954,28.0,62.57,LPG,Simulated literature-based profile
171.43,10.49,6.64,0.003101,0.240852,27.39,62.54,LPG,Simulated literature-based profile
219.78,9.74,8.88,0.004717,0.140878,28.6,58.33,LPG,Simulated literature-based profile
187.31,9.42,9.54,0.003882,0.173937,27.62,64.55,LPG,Simulated literature-based profile
239.7,10.34,7.54,0.00499,0.185886,28.65,63.87,LPG,Simulated literature-based profile
245.68,10.93,7.14,0.004074,0.232163,28.32,58.51,LPG,Simulated literature-based profile
247.99,10.21,8.84,0.003089,0.285617,28.2,60.67,LPG,Simulated literature-based profile
12.77,9.39,47.19,0.00611,0.347598,29.16,70.59,BENZENE,Simulated literature-based profile
13.83,7.5,46.94,0.006969,0.421979,30.51,68.95,BENZENE,Simulated literature-based profile
16.74,8.94,54.0,0.007222,0.492287,28.59,71.67,BENZENE,Simulated literature-based profile
17.04,6.38,38.15,0.005304,0.368717,30.16,68.01,BENZENE,Simulated literature-based profile
12.58,8.75,36.74,0.005479,0.357627,29.37,65.72,BENZENE,Simulated literature-based profile
15.9,7.9,40.44,0.00472,0.368757,29.22,66.67,BENZENE,Simulated literature-based profile
12.09,7.19,38.65,0.005992,0.308286,30.75,67.71,BENZENE,Simulated literature-based profile
15.49,7.62,49.91,0.007578,0.337537,28.19,71.8,BENZENE,Simulated literature-based profile
17.66,6.4,35.08,0.004036,0.45243,28.16,70.93,BENZENE,Simulated literature-based profile
12.48,6.13,43.28,0.006041,0.336891,30.85,69.71,BENZENE,Simulated literature-based profile
16.25,9.86,53.3,0.007753,0.418477,28.26,70.0,BENZENE,Simulated literature-based profile
17.82,6.69,39.83,0.005986,0.434948,30.17,66.96,BENZENE,Simulated literature-based profile
14.01,9.04,38.94,0.005351,0.304448,29.48,63.11,BENZENE,Simulated literature-based profile
15.19,8.47,54.48,0.005025,0.30513,30.0,62.31,BENZENE,Simulated literature-based profile
13.67,8.93,43.29,0.007258,0.449589,28.31,68.01,BENZENE,Simulated literature-based profile
17.13,9.53,40.44,0.007264,0.431245,29.01,65.91,BENZENE,Simulated literature-based profile
16.56,9.89,45.26,0.007881,0.40485,29.12,71.07,BENZENE,Simulated literature-based profile
13.51,8.1,46.96,0.005088,0.401755,30.92,69.05,BENZENE,Simulated literature-based profile
16.66,8.44,50.75,0.005294,0.481401,30.36,64.21,BENZENE,Simulated literature-based profile
16.43,8.98,41.18,0.006175,0.391842,29.61,62.24,BENZENE,Simulated literature-based profile
15.22,9.14,43.38,0.006833,0.333721,28.94,66.72,BENZENE,Simulated literature-based profile
15.8,7.15,35.48,0.005294,0.308822,29.3,67.77,BENZENE,Simulated literature-based profile
16.27,7.4,54.65,0.007586,0.475509,29.67,67.68,BENZENE,Simulated literature-based profile
15.19,7.89,50.68,0.007338,0.312203,29.6,65.59,BENZENE,Simulated literature-based profile
12.41,9.94,36.47,0.006907,0.453755,30.42,67.19,BENZENE,Simulated literature-based profile
17.16,8.54,52.42,0.004145,0.401863,29.82,67.34,BENZENE,Simulated literature-based profile
15.27,6.33,39.48,0.005343,0.499852,30.18,67.45,BENZENE,Simulated literature-based profile
17.73,8.42,54.51,0.005533,0.491268,30.28,71.19,BENZENE,Simulated literature-based profile
15.86,6.61,46.21,0.005059,0.38828,29.71,67.53,BENZENE,Simulated literature-based profile
12.26,8.77,51.64,0.004857,0.316276,29.87,66.69,BENZENE,Simulated literature-based profile
14.42,4.42,68.28,0.003239,0.339494,28.23,63.96,AMMONIA,Simulated literature-based profile
10.19,5.31,57.42,0.004841,0.326819,28.77,72.97,AMMONIA,Simulated literature-based profile
12.72,7.38,58.0,0.00399,0.28903,28.48,63.11,AMMONIA,Simulated literature-based profile
13.74,7.76,56.04,0.003987,0.301166,28.13,68.39,AMMONIA,Simulated literature-based profile
10.16,6.68,68.57,0.003763,0.399599,30.17,68.91,AMMONIA,Simulated literature-based profile
10.13,5.37,58.67,0.003549,0.386555,30.55,67.51,AMMONIA,Simulated literature-based profile
13.82,4.77,67.96,0.004346,0.337748,28.93,66.88,AMMONIA,Simulated literature-based profile
14.24,4.87,53.6,0.004255,0.267418,29.47,71.75,AMMONIA,Simulated literature-based profile
14.9,6.86,51.5,0.004345,0.365879,30.51,67.94,AMMONIA,Simulated literature-based profile
10.02,5.23,58.15,0.003781,0.258822,27.03,64.14,AMMONIA,Simulated literature-based profile
13.45,6.92,52.71,0.004455,0.28368,28.19,70.83,AMMONIA,Simulated literature-based profile
14.03,4.46,68.72,0.004296,0.276064,28.66,67.48,AMMONIA,Simulated literature-based profile
12.2,4.53,51.43,0.003319,0.353946,27.82,71.47,AMMONIA,Simulated literature-based profile
11.18,5.34,62.14,0.004414,0.355897,29.02,67.09,AMMONIA,Simulated literature-based profile
11.81,4.24,50.93,0.004698,0.359275,29.21,71.14,AMMONIA,Simulated literature-based profile
12.18,4.93,61.89,0.003471,0.267335,30.46,72.5,AMMONIA,Simulated literature-based profile
14.09,4.66,61.53,0.003987,0.26136,27.45,71.92,AMMONIA,Simulated literature-based profile
11.18,6.31,69.71,0.003975,0.207326,27.81,66.93,AMMONIA,Simulated literature-based profile
12.73,7.25,55.21,0.00343,0.36828,30.6,69.19,AMMONIA,Simulated literature-based profile
12.0,4.84,66.18,0.003683,0.215594,28.08,64.21,AMMONIA,Simulated literature-based profile
11.4,4.18,55.36,0.004005,0.352911,29.29,67.93,AMMONIA,Simulated literature-based profile
11.85,5.12,65.93,0.003747,0.289055,29.83,69.98,AMMONIA,Simulated literature-based profile
10.88,5.35,69.63,0.00449,0.270434,27.56,64.73,AMMONIA,Simulated literature-based profile
12.45,5.6,52.66,0.004903,0.280945,28.52,64.4,AMMONIA,Simulated literature-based profile
11.69,6.32,59.39,0.003015,0.234414,30.75,68.98,AMMONIA,Simulated literature-based profile
12.26,4.58,58.41,0.003849,0.224682,29.88,71.08,AMMONIA,Simulated literature-based profile
12.9,6.37,62.78,0.003284,0.352844,27.36,71.4,AMMONIA,Simulated literature-based profile
12.75,7.02,67.39,0.004702,0.300427,30.78,72.31,AMMONIA,Simulated literature-based profile
12.38,5.29,57.25,0.004349,0.349125,28.76,66.44,AMMONIA,Simulated literature-based profile
10.44,5.11,52.27,0.004898,0.328002,27.18,69.73,AMMONIA,Simulated literature-based profile
7.16,6.87,5.42,0.048691,0.1557,28.73,66.45,MERCURY,Simulated literature-based profile
6.54,4.24,6.64,0.05995,0.171579,28.62,64.46,MERCURY,Simulated literature-based profile
9.8,5.97,7.88,0.046837,0.18166,27.6,63.5,MERCURY,Simulated literature-based profile
9.6,4.97,5.53,0.048078,0.171091,29.48,66.48,MERCURY,Simulated literature-based profile
8.74,4.4,7.15,0.046794,0.226267,28.55,64.48,MERCURY,Simulated literature-based profile
8.29,4.04,6.61,0.053512,0.168178,28.24,63.39,MERCURY,Simulated literature-based profile
7.93,5.58,7.0,0.048094,0.20871,28.94,67.2,MERCURY,Simulated literature-based profile
6.8,4.99,5.23,0.040426,0.157921,27.54,65.39,MERCURY,Simulated literature-based profile
8.95,4.91,7.85,0.049653,0.180932,28.91,67.92,MERCURY,Simulated literature-based profile
8.32,6.1,6.04,0.04131,0.202319,29.05,64.67,MERCURY,Simulated literature-based profile
7.33,6.36,7.22,0.058355,0.223281,29.31,65.26,MERCURY,Simulated literature-based profile
7.77,5.93,7.72,0.043819,0.248532,28.53,67.18,MERCURY,Simulated literature-based profile
6.91,6.42,7.31,0.041989,0.247865,28.61,65.57,MERCURY,Simulated literature-based profile
7.1,6.03,6.07,0.044398,0.18512,27.4,65.12,MERCURY,Simulated literature-based profile
9.18,4.9,7.14,0.055654,0.157419,27.34,67.69,MERCURY,Simulated literature-based profile
8.12,5.47,5.92,0.058449,0.248357,27.81,63.83,MERCURY,Simulated literature-based profile
