"Date","Price","Open","High","Low","Vol.","Change %"
"29-08-2024","228.30","230.15","230.15","227.50","0.01K","-1.62%"
"28-08-2024","232.05","233.40","233.40","231.40","0.00K","0.22%"
"27-08-2024","231.55","229.00","233.00","228.20","0.06K","0.89%"
"26-08-2024","229.50","230.85","233.50","228.85","0.51K","-0.13%"
"23-08-2024","229.80","226.65","230.30","224.75","2.69K","2.27%"
"22-08-2024","224.70","226.95","229.60","224.15","2.82K","-0.69%"
"21-08-2024","226.25","226.85","227.60","224.60","2.09K","-0.13%"
"20-08-2024","226.55","224.25","227.75","223.45","2.56K","1.16%"
"19-08-2024","223.95","220.00","224.85","219.80","2.34K","2.24%"
"16-08-2024","219.05","219.25","220.45","216.95","2.19K","1.25%"
"14-08-2024","216.35","215.80","218.95","215.50","1.79K","0.14%"
"13-08-2024","216.05","214.05","216.90","213.35","1.56K","0.37%"
"12-08-2024","215.25","214.10","216.85","214.10","1.69K","0.49%"
"09-08-2024","214.20","213.80","216.50","213.80","2.37K","0.54%"
"08-08-2024","213.05","211.80","213.30","210.45","1.59K","0.54%"
"07-08-2024","211.90","213.20","213.60","209.90","2.00K","-0.98%"
"06-08-2024","214.00","209.70","214.25","208.95","2.16K","1.54%"
"05-08-2024","210.75","211.85","212.15","208.55","2.47K","0.09%"
"02-08-2024","210.55","215.00","215.00","210.00","1.68K","-0.59%"
"01-08-2024","211.80","214.90","215.75","211.50","2.40K","1.07%"
"31-07-2024","209.55","209.55","209.55","209.55","","0.00%"
"30-07-2024","209.55","209.55","209.55","209.55","","0.00%"
"29-07-2024","209.55","209.75","209.85","208.70","0.01K","-0.38%"
"26-07-2024","210.35","209.95","210.90","209.40","0.04K","1.82%"
"25-07-2024","206.60","210.15","211.90","205.40","0.70K","-3.05%"
"24-07-2024","213.10","214.95","215.00","211.85","1.67K","-0.40%"
"23-07-2024","213.95","216.05","216.95","213.25","1.32K","-0.83%"
"22-07-2024","215.75","221.35","221.35","214.95","1.83K","-2.24%"
"19-07-2024","220.70","221.65","223.20","220.50","1.80K","-0.52%"
"18-07-2024","221.85","221.65","224.50","221.50","1.50K","-0.29%"
"17-07-2024","222.50","223.40","224.50","222.10","0.63K","-0.45%"
"16-07-2024","223.50","226.90","227.40","222.80","1.48K","-1.63%"
"15-07-2024","227.20","228.95","228.95","227.00","1.02K","-0.81%"
"12-07-2024","229.05","228.00","229.70","227.50","1.16K","0.26%"
