"Date","Price","Open","High","Low","Vol.","Change %"
"29-08-2024","1,427.5","1,427.5","1,427.5","1,427.5","","-0.73%"
"28-08-2024","1,438.0","1,438.0","1,438.0","1,438.0","","1.24%"
"27-08-2024","1,420.4","1,420.4","1,420.4","1,420.4","","0.00%"
"26-08-2024","1,420.4","1,420.4","1,420.4","1,420.4","","0.97%"
"23-08-2024","1,406.7","1,406.7","1,406.7","1,406.7","","-1.57%"
"22-08-2024","1,429.1","1,429.1","1,429.1","1,429.1","","0.70%"
"21-08-2024","1,419.2","1,419.2","1,419.2","1,419.2","","3.86%"
"20-08-2024","1,366.4","1,366.4","1,366.4","1,366.4","","0.00%"
"19-08-2024","1,366.4","1,366.4","1,366.4","1,366.4","","-0.14%"
"16-08-2024","1,368.3","1,368.3","1,368.3","1,368.3","","0.33%"
"14-08-2024","1,363.8","1,363.8","1,363.8","1,363.8","","-0.45%"
"13-08-2024","1,369.9","1,369.9","1,369.9","1,369.9","","-0.75%"
"12-08-2024","1,380.3","1,380.3","1,380.3","1,380.3","","1.37%"
"09-08-2024","1,361.7","1,361.7","1,361.7","1,361.7","","-0.73%"
"08-08-2024","1,371.7","1,371.7","1,371.7","1,371.7","","0.68%"
"07-08-2024","1,362.5","1,362.5","1,362.5","1,362.5","","-0.96%"
"06-08-2024","1,375.7","1,375.7","1,375.7","1,375.7","","0.16%"
"05-08-2024","1,373.5","1,373.5","1,373.5","1,373.5","","-0.58%"
"02-08-2024","1,381.5","1,381.5","1,381.5","1,381.5","","0.09%"
"01-08-2024","1,380.3","1,380.3","1,380.3","1,380.3","","3.78%"
"31-07-2024","1,330.0","1,330.0","1,330.0","1,330.0","","-0.52%"
"30-07-2024","1,336.9","1,336.9","1,336.9","1,336.9","","-0.01%"
"29-07-2024","1,337.0","1,337.0","1,337.0","1,337.0","","0.72%"
"26-07-2024","1,327.5","1,327.5","1,327.5","1,327.5","","-1.48%"
"25-07-2024","1,347.5","1,347.5","1,347.5","1,347.5","","-0.77%"
"24-07-2024","1,358.0","1,358.0","1,358.0","1,358.0","","-0.98%"
"23-07-2024","1,371.5","1,371.5","1,371.5","1,371.5","","-0.56%"
"22-07-2024","1,379.2","1,379.2","1,379.2","1,379.2","","-0.96%"
"19-07-2024","1,392.5","1,392.5","1,392.5","1,392.5","","-1.68%"
"18-07-2024","1,416.3","1,416.3","1,416.3","1,416.3","","0.00%"
"17-07-2024","1,416.3","1,416.3","1,416.3","1,416.3","","-0.18%"
"16-07-2024","1,418.9","1,418.9","1,418.9","1,418.9","","-0.82%"
"15-07-2024","1,430.7","1,430.7","1,430.7","1,430.7","","-0.47%"
"12-07-2024","1,437.5","1,437.5","1,437.5","1,437.5","","-1.27%"
"11-07-2024","1,456.0","1,456.0","1,456.0","1,456.0","","-0.31%"
"10-07-2024","1,460.5","1,460.5","1,460.5","1,460.5","","-0.14%"
"09-07-2024","1,462.5","1,462.5","1,462.5","1,462.5","","-0.20%"
"08-07-2024","1,465.4","1,465.4","1,465.4","1,465.4","","0.65%"
"05-07-2024","1,456.0","1,456.0","1,456.0","1,456.0","","-0.64%"
"04-07-2024","1,465.4","1,465.4","1,465.4","1,465.4","","-0.70%"
"03-07-2024","1,475.7","1,475.7","1,475.7","1,475.7","","0.68%"
"02-07-2024","1,465.8","1,465.8","1,465.8","1,465.8","","0.10%"
"01-07-2024","1,464.3","1,464.3","1,464.3","1,464.3","","0.97%"
"28-06-2024","1,450.3","1,450.3","1,450.3","1,450.3","","-0.61%"
"27-06-2024","1,459.2","1,459.2","1,459.2","1,459.2","","-0.26%"
"26-06-2024","1,463.0","1,463.0","1,463.0","1,463.0","","0.72%"
"25-06-2024","1,452.5","1,452.5","1,452.5","1,452.5","","-0.83%"
"24-06-2024","1,464.7","1,464.7","1,464.7","1,464.7","","-0.41%"
"21-06-2024","1,470.8","1,470.8","1,470.8","1,470.8","","-0.20%"
"20-06-2024","1,473.8","1,473.8","1,473.8","1,473.8","","0.51%"
"19-06-2024","1,466.3","1,466.3","1,466.3","1,466.3","","-0.66%"
"18-06-2024","1,476.1","1,476.1","1,476.1","1,476.1","","0.00%"
"17-06-2024","1,476.1","1,476.1","1,476.1","1,476.1","","-1.76%"
"14-06-2024","1,502.5","1,502.5","1,502.5","1,502.5","","-0.28%"
"13-06-2024","1,506.7","1,506.7","1,506.7","1,506.7","","-1.06%"
"12-06-2024","1,522.9","1,522.9","1,522.9","1,522.9","","-0.30%"
"11-06-2024","1,527.5","1,527.5","1,527.5","1,527.5","","-1.48%"
"10-06-2024","1,550.4","1,550.4","1,550.4","1,550.4","","-2.59%"
"07-06-2024","1,591.7","1,591.7","1,591.7","1,591.7","","-1.04%"
"06-06-2024","1,608.5","1,608.5","1,608.5","1,608.5","","-1.45%"
"05-06-2024","1,632.2","1,632.2","1,632.2","1,632.2","","-2.12%"
"04-06-2024","1,667.5","1,667.5","1,667.5","1,667.5","","-2.03%"
"03-06-2024","1,702.1","1,702.1","1,702.1","1,702.1","","-0.17%"
"31-05-2024","1,705.0","1,705.0","1,705.0","1,705.0","","-1.35%"
"30-05-2024","1,728.4","1,728.4","1,728.4","1,728.4","","0.63%"
"29-05-2024","1,717.5","1,717.5","1,717.5","1,717.5","","0.83%"
"28-05-2024","1,703.3","1,703.3","1,703.3","1,703.3","","-0.39%"
"27-05-2024","1,710.0","1,710.0","1,710.0","1,710.0","","-0.25%"
"24-05-2024","1,714.3","1,714.3","1,714.3","1,714.3","","-2.45%"
"23-05-2024","1,757.3","1,757.3","1,757.3","1,757.3","","-1.45%"
"22-05-2024","1,783.1","1,783.1","1,783.1","1,783.1","","2.08%"
"21-05-2024","1,746.7","1,746.7","1,746.7","1,746.7","","0.00%"
"20-05-2024","1,746.7","1,746.7","1,746.7","1,746.7","","5.86%"
"17-05-2024","1,650.0","1,650.0","1,650.0","1,650.0","","1.31%"
"16-05-2024","1,628.6","1,628.6","1,628.6","1,628.6","","0.61%"
"15-05-2024","1,618.7","1,618.7","1,618.7","1,618.7","","0.49%"
"14-05-2024","1,610.8","1,610.8","1,610.8","1,610.8","","-0.15%"
"13-05-2024","1,613.2","1,613.2","1,613.2","1,613.2","","0.93%"
"10-05-2024","1,598.3","1,598.3","1,598.3","1,598.3","","0.07%"
"09-05-2024","1,597.2","1,597.2","1,597.2","1,597.2","","-1.14%"
"08-05-2024","1,615.6","1,615.6","1,615.6","1,615.6","","-0.02%"
"07-05-2024","1,615.9","1,615.9","1,615.9","1,615.9","","1.08%"
"06-05-2024","1,598.6","1,598.6","1,598.6","1,598.6","","-1.13%"
"02-05-2024","1,616.8","1,616.8","1,616.8","1,616.8","","0.00%"
"01-05-2024","1,616.8","1,616.8","1,616.8","1,616.8","","-0.77%"
"30-04-2024","1,629.3","1,629.3","1,629.3","1,629.3","","-0.20%"
"29-04-2024","1,632.5","1,632.5","1,632.5","1,632.5","","1.35%"
"26-04-2024","1,610.8","1,610.8","1,610.8","1,610.8","","-0.28%"
"25-04-2024","1,615.4","1,615.4","1,615.4","1,615.4","","0.80%"
"24-04-2024","1,602.5","1,602.5","1,602.5","1,602.5","","-1.20%"
"23-04-2024","1,621.9","1,621.9","1,621.9","1,621.9","","1.21%"
"22-04-2024","1,602.5","1,602.5","1,602.5","1,602.5","","3.51%"
"19-04-2024","1,548.2","1,548.2","1,548.2","1,548.2","","1.43%"
"18-04-2024","1,526.3","1,526.3","1,526.3","1,526.3","","0.00%"
"17-04-2024","1,526.3","1,526.3","1,526.3","1,526.3","","-2.73%"
"16-04-2024","1,569.2","1,569.2","1,569.2","1,569.2","","3.18%"
"15-04-2024","1,520.8","1,520.8","1,520.8","1,520.8","","-1.80%"
"12-04-2024","1,548.6","1,548.6","1,548.6","1,548.6","","0.00%"
"11-04-2024","1,548.6","1,548.6","1,548.6","1,548.6","","3.41%"
"10-04-2024","1,497.5","1,497.5","1,497.5","1,497.5","","-0.54%"
"09-04-2024","1,505.7","1,505.7","1,505.7","1,505.7","","0.64%"
"08-04-2024","1,496.1","1,496.1","1,496.1","1,496.1","","2.33%"
"05-04-2024","1,462.0","1,462.0","1,462.0","1,462.0","","2.09%"
"04-04-2024","1,432.0","1,432.0","1,432.0","1,432.0","","0.60%"
"03-04-2024","1,423.5","1,423.5","1,423.5","1,423.5","","0.00%"
"02-04-2024","1,423.5","1,423.5","1,423.5","1,423.5","","0.11%"
"01-04-2024","1,421.9","1,421.9","1,421.9","1,421.9","","0.20%"
"28-03-2024","1,419.1","1,419.1","1,419.1","1,419.1","","-0.81%"
"27-03-2024","1,430.7","1,430.7","1,430.7","1,430.7","","-2.88%"
"26-03-2024","1,473.2","1,473.2","1,473.2","1,473.2","","0.00%"
"25-03-2024","1,473.2","1,473.2","1,473.2","1,473.2","","-0.51%"
"22-03-2024","1,480.8","1,480.8","1,480.8","1,480.8","","0.30%"
"21-03-2024","1,476.3","1,476.3","1,476.3","1,476.3","","-0.65%"
"20-03-2024","1,486.0","1,486.0","1,486.0","1,486.0","","-1.48%"
"19-03-2024","1,508.3","1,508.3","1,508.3","1,508.3","","-0.93%"
"18-03-2024","1,522.5","1,522.5","1,522.5","1,522.5","","2.47%"
"15-03-2024","1,485.8","1,485.8","1,485.8","1,485.8","","0.00%"
"14-03-2024","1,485.8","1,485.8","1,485.8","1,485.8","","0.00%"
"13-03-2024","1,485.8","1,485.8","1,485.8","1,485.8","","0.00%"
"12-03-2024","1,485.8","1,485.8","1,485.8","1,485.8","","0.00%"
"11-03-2024","1,485.8","1,485.8","1,485.8","1,485.8","","0.05%"
"08-03-2024","1,485.0","1,485.0","1,485.0","1,485.0","","0.00%"
"07-03-2024","1,485.0","1,485.0","1,485.0","1,485.0","","0.77%"
"06-03-2024","1,473.7","1,473.7","1,473.7","1,473.7","","0.00%"
"05-03-2024","1,473.7","1,473.7","1,473.7","1,473.7","","0.82%"
"04-03-2024","1,461.7","1,461.7","1,461.7","1,461.7","","-0.46%"
"01-03-2024","1,468.5","1,468.5","1,468.5","1,468.5","","1.45%"
"29-02-2024","1,447.5","1,447.5","1,447.5","1,447.5","","0.21%"
"28-02-2024","1,444.4","1,444.4","1,444.4","1,444.4","","-0.28%"
"27-02-2024","1,448.5","1,448.5","1,448.5","1,448.5","","-0.37%"
"26-02-2024","1,453.9","1,453.9","1,453.9","1,453.9","","1.51%"
"23-02-2024","1,432.3","1,432.3","1,432.3","1,432.3","","2.45%"
"22-02-2024","1,398.1","1,398.1","1,398.1","1,398.1","","1.65%"
"21-02-2024","1,375.4","1,375.4","1,375.4","1,375.4","","-0.04%"
"20-02-2024","1,376.0","1,376.0","1,376.0","1,376.0","","0.01%"
"19-02-2024","1,375.8","1,375.8","1,375.8","1,375.8","","-0.47%"
"16-02-2024","1,382.3","1,382.3","1,382.3","1,382.3","","0.40%"
"15-02-2024","1,376.8","1,376.8","1,376.8","1,376.8","","0.58%"
"14-02-2024","1,368.8","1,368.8","1,368.8","1,368.8","","0.37%"
"13-02-2024","1,363.8","1,363.8","1,363.8","1,363.8","","-0.58%"
"12-02-2024","1,371.7","1,371.7","1,371.7","1,371.7","","0.23%"
"09-02-2024","1,368.6","1,368.6","1,368.6","1,368.6","","-0.22%"
"08-02-2024","1,371.6","1,371.6","1,371.6","1,371.6","","-0.68%"
"07-02-2024","1,381.0","1,381.0","1,381.0","1,381.0","","0.00%"
"06-02-2024","1,381.0","1,381.0","1,381.0","1,381.0","","-0.88%"
"05-02-2024","1,393.3","1,393.3","1,393.3","1,393.3","","0.65%"
"02-02-2024","1,384.3","1,384.3","1,384.3","1,384.3","","-0.87%"
"01-02-2024","1,396.4","1,396.4","1,396.4","1,396.4","","0.13%"
"31-01-2024","1,394.6","1,394.6","1,394.6","1,394.6","","0.39%"
"30-01-2024","1,389.2","1,389.2","1,389.2","1,389.2","","-0.69%"
"29-01-2024","1,398.9","1,398.9","1,398.9","1,398.9","","0.76%"
"25-01-2024","1,388.3","1,388.3","1,388.3","1,388.3","","0.12%"
"24-01-2024","1,386.7","1,386.7","1,386.7","1,386.7","","0.49%"
"23-01-2024","1,380.0","1,380.0","1,380.0","1,380.0","","0.00%"
"22-01-2024","1,380.0","1,380.0","1,380.0","1,380.0","","-0.05%"
"19-01-2024","1,380.7","1,380.7","1,380.7","1,380.7","","-0.43%"
"18-01-2024","1,386.7","1,386.7","1,386.7","1,386.7","","0.03%"
"17-01-2024","1,386.3","1,386.3","1,386.3","1,386.3","","-0.27%"
"16-01-2024","1,390.0","1,390.0","1,390.0","1,390.0","","-0.48%"
"15-01-2024","1,396.7","1,396.7","1,396.7","1,396.7","","-0.09%"
"12-01-2024","1,397.9","1,397.9","1,397.9","1,397.9","","0.57%"
"11-01-2024","1,390.0","1,390.0","1,390.0","1,390.0","","-0.86%"
"10-01-2024","1,402.0","1,402.0","1,402.0","1,402.0","","0.23%"
"09-01-2024","1,398.8","1,398.8","1,398.8","1,398.8","","0.81%"
"08-01-2024","1,387.5","1,387.5","1,387.5","1,387.5","","-1.49%"
"05-01-2024","1,408.5","1,408.5","1,408.5","1,408.5","","-0.81%"
"04-01-2024","1,420.0","1,420.0","1,420.0","1,420.0","","0.18%"
"03-01-2024","1,417.5","1,417.5","1,417.5","1,417.5","","-0.12%"
"02-01-2024","1,419.2","1,419.2","1,419.2","1,419.2","","0.31%"
"01-01-2024","1,414.8","1,414.8","1,414.8","1,414.8","","-1.48%"
"29-12-2023","1,436.1","1,436.1","1,436.1","1,436.1","","-0.14%"
"28-12-2023","1,438.1","1,438.1","1,438.1","1,438.1","","1.12%"
"27-12-2023","1,422.2","1,422.2","1,422.2","1,422.2","","-0.57%"
"26-12-2023","1,430.4","1,430.4","1,430.4","1,430.4","","0.53%"
"22-12-2023","1,422.8","1,422.8","1,422.8","1,422.8","","0.02%"
"21-12-2023","1,422.5","1,422.5","1,422.5","1,422.5","","0.80%"
"20-12-2023","1,411.2","1,411.2","1,411.2","1,411.2","","-1.63%"
"19-12-2023","1,434.6","1,434.6","1,434.6","1,434.6","","-1.02%"
"18-12-2023","1,449.4","1,449.4","1,449.4","1,449.4","","1.80%"
