Physical Properties,Metric,English,Comments
Density ,0.950 - 1.20 g/cc,0.0343 - 0.0434 lb/in³,Average value: 1.13 g/cc Grade Count:118
Water Absorption ,0.000 - 0.300 %,0.000 - 0.300 %,Average value: 0.0824 % Grade Count:37
Moisture Absorption at Equilibrium ,0.0400 - 0.300 %,0.0400 - 0.300 %,Average value: 0.123 % Grade Count:6
Particle Size ,90.0 - 1600 µm,90.0 - 1600 µm,Average value: 1070 µm Grade Count:4
Maximum Moisture Content ,0.01,0.01,Average value: 0.0100 Grade Count:5
,0.200 - 0.200,0.200 - 0.200,Average value: 0.200 Grade Count:2
,@Temperature 120 - 120 °C,@Temperature 248 - 248 °F,
,0.200 - 0.200,0.200 - 0.200,Average value: 0.200 Grade Count:2
,@Time 299 - 299 sec,@Time 0.0830 - 0.0830 hour,
Linear Mold Shrinkage ,0.00200 - 0.00800 cm/cm,0.00200 - 0.00800 in/in,Average value: 0.00512 cm/cm Grade Count:89
"Linear Mold Shrinkage, Transverse ",0.00200 - 0.00600 cm/cm,0.00200 - 0.00600 in/in,Average value: 0.00350 cm/cm Grade Count:3
Melt Flow ,2.50 - 25.0 g/10 min,2.50 - 25.0 g/10 min,Average value: 9.61 g/10 min Grade Count:112
Spiral Flow ,34.0 - 56.0 cm,13.4 - 22.0 in,Average value: 45.8 cm Grade Count:5
,@Temperature 220 - 260 °C,@Temperature 428 - 500 °F,
,,,
Mechanical Properties,Metric,English,Comments
"Hardness, Rockwell L ",45.0 - 94.0,45.0 - 94.0,Average value: 61.1 Grade Count:8
"Hardness, Rockwell M ",55.0 - 65.0,55.0 - 65.0,Average value: 59.2 Grade Count:6
"Hardness, Rockwell R ",83.0 - 110,83.0 - 110,Average value: 94.7 Grade Count:18
"Tensile Strength, Ultimate ",12.4 - 48.3 MPa,1800 - 7000 psi,Average value: 26.1 MPa Grade Count:63
"Tensile Strength, Yield ",14.0 - 55.0 MPa,2030 - 7980 psi,Average value: 26.6 MPa Grade Count:79
Elongation at Break ,1.00 - 80.0 %,1.00 - 80.0 %,Average value: 40.7 % Grade Count:109
Elongation at Yield ,1.00 - 5.00 %,1.00 - 5.00 %,Average value: 2.69 % Grade Count:16
Modulus of Elasticity ,1.38 - 3.45 GPa,200 - 500 ksi,Average value: 2.12 GPa Grade Count:31
Flexural Yield Strength ,25.5 - 82.7 MPa,3700 - 12000 psi,Average value: 39.9 MPa Grade Count:72
Flexural Modulus ,1.40 - 17.7 GPa,203 - 2560 ksi,Average value: 2.28 GPa Grade Count:103
"Izod Impact, Notched ",0.107 - 1.71 J/cm,0.200 - 3.20 ft-lb/in,Average value: 1.01 J/cm Grade Count:81
,0.600 - 0.800 J/cm,1.12 - 1.50 ft-lb/in,Average value: 0.468 J/cm Grade Count:4
,@Temperature 0.000 - 0.000 °C,@Temperature 32.0 - 32.0 °F,
,0.392266 - 0.490332 J/cm,0.734875 - 0.918594 ft-lb/in,Average value: 0.468 J/cm Grade Count:5
