,,,
Physical Properties,Metric,English,Comments
Density ,0.0130 - 1.18 g/cc,0.000470 - 0.0426 lb/in³,Average value: 0.984 g/cc Grade Count:142
Water Absorption ,0.000 - 0.100 %,0.000 - 0.100 %,Average value: 0.0900 % Grade Count:35
Moisture Absorption at Equilibrium ,0.10%,0.10%,Average value: 0.100 % Grade Count:20
Water Absorption at Saturation ,0.10%,0.10%,Average value: 0.100 % Grade Count:5
Particle Size ,2000 - 4000 µm,2000 - 4000 µm,Average value: 3000 µm Grade Count:4
Linear Mold Shrinkage ,0.00200 - 0.00800 cm/cm,0.00200 - 0.00800 in/in,Average value: 0.00511 cm/cm Grade Count:65
Melt Flow ,1.20 - 100 g/10 min,1.20 - 100 g/10 min,Average value: 9.26 g/10 min Grade Count:161
,,,
Mechanical Properties,Metric,English,Comments
"Hardness, Rockwell L ",48.0 - 82.0,48.0 - 82.0,Average value: 67.6 Grade Count:16
"Hardness, Rockwell M ",35.0 - 80.0,35.0 - 80.0,Average value: 72.8 Grade Count:20
"Hardness, Rockwell R ",71.0 - 120,71.0 - 120,Average value: 109 Grade Count:11
Ball Indentation Hardness ,60.0 - 155 MPa,8700 - 22500 psi,Average value: 134 MPa Grade Count:15
"Tensile Strength, Ultimate ",5.50 - 59.0 MPa,798 - 8560 psi,Average value: 41.0 MPa Grade Count:106
"Tensile Strength, Yield ",4.22 - 59.0 MPa,612 - 8560 psi,Average value: 32.3 MPa Grade Count:73
Elongation at Break ,0.400 - 70.0 %,0.400 - 70.0 %,Average value: 13.7 % Grade Count:121
Elongation at Yield ,1.40 - 40.0 %,1.40 - 40.0 %,Average value: 14.0 % Grade Count:5
Modulus of Elasticity ,0.894 - 3.55 GPa,130 - 515 ksi,Average value: 2.78 GPa Grade Count:80
Flexural Yield Strength ,28.0 - 106 MPa,4060 - 15400 psi,Average value: 70.9 MPa Grade Count:79
Flexural Modulus ,0.894 - 3.60 GPa,130 - 522 ksi,Average value: 2.68 GPa Grade Count:95
Poissons Ratio ,0.22,0.22,Average value: 0.220 Grade Count:3
Shear Modulus ,0.750 - 1.45 GPa,109 - 210 ksi,Average value: 1.23 GPa Grade Count:7
"Izod Impact, Notched ",0.107 - 2.14 J/cm,0.200 - 4.00 ft-lb/in,Average value: 0.455 J/cm Grade Count:81
,0.350 - 0.800 J/cm,0.656 - 1.50 ft-lb/in,Average value: 0.531 J/cm Grade Count:6
,@Temperature -40.0 - 0.000 °C,@Temperature -40.0 - 32.0 °F,
"Izod Impact, Notched (ISO) ",1.50 - 11.0 kJ/m²,0.714 - 5.23 ft-lb/in²,Average value: 4.58 kJ/m² Grade Count:25
,2.00 - 3.00 kJ/m²,0.952 - 1.43 ft-lb/in²,Average value: 2.57 kJ/m² Grade Count:3
,@Temperature -30.0 - -30.0 °C,@Temperature -22.0 - -22.0 °F,
,1.50 - 8.00 kJ/m²,0.714 - 3.81 ft-lb/in²,Average value: 2.57 kJ/m² Grade Count:6
,@Temperature -30.0 - -30.0 °C,@Temperature -22.0 - -22.0 °F,
,1.50 - 8.00 kJ/m²,0.714 - 3.81 ft-lb/in²,Average value: 2.57 kJ/m² Grade Count:6
,@Thickness 4.00 - 4.00 mm,@Thickness 0.157 - 0.157 in,
